#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:90:1:1,1,1603:45:16:90:0,1603:45:16:90:1:1,Choiseul,SB01,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:2,2,1603:45:16:90:0,1603:45:16:90:1:2,Western,SB02,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:3,3,1603:45:16:90:0,1603:45:16:90:1:3,Isabel,SB03,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:4,4,1603:45:16:90:0,1603:45:16:90:1:4,Central,SB04,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:5,5,1603:45:16:90:0,1603:45:16:90:1:5,Rennell-Bell,SB05,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:6,6,1603:45:16:90:0,1603:45:16:90:1:6,Guadalcanal,SB06,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:7,7,1603:45:16:90:0,1603:45:16:90:1:7,Malaita,SB07,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:8,8,1603:45:16:90:0,1603:45:16:90:1:8,Makira-Ulawa,SB08,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:9,9,1603:45:16:90:0,1603:45:16:90:1:9,Temotu,SB09,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:10,10,1603:45:16:90:0,1603:45:16:90:1:10,Honiara,SB10,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
