#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:44:86:0:1603:1:7:2616:98,0_1603_1_7_2616_98,,,,,,,EticaAI
1603:44:86:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,,CC0-1.0
1603:44:86:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,,2022-03-13
1603:44:86:0:1603:1:7:2616:655,0_1603_1_7_2616_655,,,,,,,Vicidata
1603:44:86:0:1603:1:7:2616:854:1,0_1603_1_7_2616_854_1,,,,,,,urn:1603:44:101||/The _[1603:44:101] //Dictiōnāria basibus de scielus contrā persōnam// _is the group of dictionaries focused at individual level/@eng-Latn
1603:44:86:0:1603:1:7:2616:859,0_1603_1_7_2616_859,,,,,,,pro bonō publicō
1603:44:86:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,,#TODO 1603_44_86 //Dictiōnāria basibus dē tortūrīs modīs//#
1603:44:86:1,1,,,,//list of methods of torture//,,,
1603:44:86:100,100,,,,/psychological torture methods/@eng-Latn,,,
1603:44:86:100:1,100_1,,,,/sensory deprivation || the act of deliberately removing or reducing stimuli/@eng-Latn,,,
1603:44:86:100:1:1,100_1_1,,,,/white torture || method of psychological torture utilizing sensory deprivation/@eng-Latn,,,
1603:44:86:100:2,100_2,,,,/music in psychological operations/@eng-Latn,,,
1603:44:86:100:2:1,100_2_1,,,,/sound of fingernails scraping chalkboard/@eng-Latn,,,
1603:44:86:100:991,100_991,,,,/blackmail || coercion based on threat of revealing information/@eng-Latn,,,
1603:44:86:100:992,100_992,,,,/sleep deprivation || condition of not having enough sleep/@eng-Latn,,,
1603:44:86:200,200,,,,/physical torture methods/@eng-Latn,,,
1603:44:86:200:1,200_1,,,,/waterboarding || drowning simulating torture method/@eng-Latn,,,
1603:44:86:210,210,,,,/sexual assault || act of coercing or physically forcing a person to engage in sexual activity/@eng-Latn,,,
1603:44:86:210:1,210_1,,,,/rape || type of sexual assault usually involving sexual intercourse without consent/@eng-Latn,,,
1603:44:86:300,300,,,,"/other, need classification/@eng-Latn",,,
1603:44:86:300:1,300_1,,,,/medical torture/@eng-Latn,,,
1603:44:86:300:2,300_2,,,,"/patient abuse || action or failure to act which causes unreasonable suffering, misery or harm to the patient/@eng-Latn",,,
1603:44:86:300:3,300_3,,,,/truth drug || class of psychoactive drug (not actually scientific)/@eng-Latn,,,
1603:44:86:99999999,99999999,,,,//other//,,,
1603:44:86:99999999:5097924,99999999_5097924,,,Q5097924,/Child sexual abuse by UN peacekeepers/,,,
1603:44:86:30315193,30315193,,,Q30315193,/Minnesota Protocol/,,,
1603:44:86:2120363,2120363,,,Q2120363,/Istanbul Protocol/,,,
