admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Zambezi,NA01,,,,Namibia,NA,2011-01-01,2020-05-04,
Erongo,NA02,,,,Namibia,NA,2011-01-01,2020-05-04,
Hardap,NA03,,,,Namibia,NA,2011-01-01,2020-05-04,
Karas,NA04,,//Karas,,Namibia,NA,2011-01-01,2020-05-04,
Kavango East,NA05,,,,Namibia,NA,2011-01-01,2020-05-04,
Khomas,NA06,,,,Namibia,NA,2011-01-01,2020-05-04,
Kunene,NA07,,,,Namibia,NA,2011-01-01,2020-05-04,
Ohangwena,NA08,,,,Namibia,NA,2011-01-01,2020-05-04,
Omaheke,NA09,,,,Namibia,NA,2011-01-01,2020-05-04,
Omusati,NA10,,,,Namibia,NA,2011-01-01,2020-05-04,
Oshana,NA11,,,,Namibia,NA,2011-01-01,2020-05-04,
Oshikoto,NA12,,,,Namibia,NA,2011-01-01,2020-05-04,
Otjozondjupa,NA13,,,,Namibia,NA,2011-01-01,2020-05-04,
Kavango West,NA14,,,,Namibia,NA,2011-01-01,2020-05-04,
