admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Kailahun,SL0101,Kailahun,,,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kenema,SL0102,Kenema,,,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kono,SL0103,Kono,,,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bombali,SL0201,Bombali,,,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kambia,SL0202,Kambia,,,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Koinadugu,SL0203,Koinadugu,,,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Port Loko,SL0204,Port Loko,,,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tonkolili,SL0205,Tonkolili,,,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Bo,SL0301,Bo,,,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bonthe,SL0302,Bonthe,,,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Moyamba,SL0303,Moyamba,,,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Pujehun,SL0304,Pujehun,,,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Western Area Rural,SL0401,Western Area Rural,,,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
Western Area Urban,SL0402,Western Area Urban,,,Western,SL04,Sierra Leone,SL,2016-08-01,2017-08-16,
