admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Almadies,SN010101,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Grand Dakar,SN010102,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Parcelles Assainies,SN010103,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Plateau,SN010104,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Guediawaye,SN010201,,,,Guediawaye,SN0102,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Niayes,SN010301,,,,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Thiaroye,SN010302,,,,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Pikine Dagoudane,SN010303,,,,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Sangalkam,SN010401,,,,Rufisque,SN0104,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Rufisque Bargny,SN010402,,,,Rufisque,SN0104,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Lambaye,SN020101,,,,Bambey,SN0201,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Ngoye,SN020102,,,,Bambey,SN0201,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Baba Garage,SN020103,,,,Bambey,SN0201,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Ndoulo,SN020201,,,,Diourbel,SN0202,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Ndindy,SN020202,,,,Diourbel,SN0202,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Ndame,SN020301,,,,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Taif,SN020302,,,,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Kael,SN020303,,,,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Diakhao,SN030101,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Fimla,SN030102,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Tattaguine,SN030103,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Niakhar,SN030104,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Djilor,SN030201,,,,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Toubakouta,SN030202,,,,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Niodior,SN030203,,,,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Colobane,SN030301,,,,Gossas,SN0303,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Ouadiour,SN030302,,,,Gossas,SN0303,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Mabo,SN040101,,,,Birkelane,SN0401,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Keur Mboucki,SN040102,,,,Birkelane,SN0401,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Gniby,SN040201,,,,Kaffrine,SN0402,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Katakel,SN040202,,,,Kaffrine,SN0402,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Missira Wadene,SN040301,,,,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
