admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Choiseul,SB01,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Western,SB02,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Isabel,SB03,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Central,SB04,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Rennell-Bell,SB05,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Guadalcanal,SB06,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Malaita,SB07,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Makira-Ulawa,SB08,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Temotu,SB09,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
Honiara,SB10,,,,Solomon Islands,SB,2018-01-12,2018-11-01,
