admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Central Equatoria,SS01,,,,South Sudan,SS,2018-08-15,2022-01-21,
Eastern Equatoria,SS02,,,,South Sudan,SS,2018-08-15,2022-01-21,
Jonglei,SS03,,,,South Sudan,SS,2018-08-15,2022-01-21,
Lakes,SS04,,,,South Sudan,SS,2018-08-15,2022-01-21,
Northern Bahr el Ghazal,SS05,,,,South Sudan,SS,2018-08-15,2022-01-21,
Unity,SS06,,,,South Sudan,SS,2018-08-15,2022-01-21,
Upper Nile,SS07,,,,South Sudan,SS,2018-08-15,2022-01-21,
Warrap,SS08,,,,South Sudan,SS,2018-08-15,2022-01-21,
Western Bahr el Ghazal,SS09,,,,South Sudan,SS,2018-08-15,2022-01-21,
Western Equatoria,SS10,,,,South Sudan,SS,2018-08-15,2022-01-21,
