admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Batha,TD01,Batha,,,Tchad,TD,2016-03-15,2016-05-09,
Borkou,TD02,Borkou,,,Tchad,TD,2016-03-15,2016-05-09,
Chari-Baguirmi,TD03,Chari-Baguirmi,,,Tchad,TD,2016-03-15,2016-05-09,
Guéra,TD04,Guera,,,Tchad,TD,2016-03-15,2016-05-09,
Hadjer-Lamis,TD05,Hadjer-Lamis,,,Tchad,TD,2016-03-15,2016-05-09,
Kanem,TD06,Kanem,,,Tchad,TD,2016-03-15,2016-05-09,
Lac,TD07,Lac,,,Tchad,TD,2016-03-15,2016-05-09,
Logone Occidental,TD08,Logone Occidental,,,Tchad,TD,2016-03-15,2016-05-09,
Logone Oriental,TD09,Logone Oriental,,,Tchad,TD,2016-03-15,2016-05-09,
Mandoul,TD10,Mandoul,,,Tchad,TD,2016-03-15,2016-05-09,
Mayo-Kebbi Est,TD11,Mayo-Kebbi Est,,,Tchad,TD,2016-03-15,2016-05-09,
Mayo-Kebbi Ouest,TD12,Mayo-Kebbi Ouest,,,Tchad,TD,2016-03-15,2016-05-09,
Moyen-Chari,TD13,Moyen-Chari,,,Tchad,TD,2016-03-15,2016-05-09,
Ouaddaï,TD14,Ouaddai,,,Tchad,TD,2016-03-15,2016-05-09,
Salamat,TD15,Salamat,,,Tchad,TD,2016-03-15,2016-05-09,
Tandjilé,TD16,Tandjile,,,Tchad,TD,2016-03-15,2016-05-09,
Wadi Fira,TD17,Wadi Fira,,,Tchad,TD,2016-03-15,2016-05-09,
N'Djamena,TD18,NDjamena,,,Tchad,TD,2016-03-15,2016-05-09,
Barh-El-Gazel,TD19,Barh-El-Gazel,Barh-El-Gazal,,Tchad,TD,2016-03-15,2016-05-09,
Ennedi Est,TD20,Ennedi Est,,,Tchad,TD,2016-03-15,2016-05-09,
Sila,TD21,Sila,,,Tchad,TD,2016-03-15,2016-05-09,
Tibesti,TD22,Tibesti,,,Tchad,TD,2016-03-15,2016-05-09,
Ennedi Ouest,TD23,Ennedi Ouest,,,Tchad,TD,2016-03-15,2016-05-09,
