admin1Name_fr,admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin1AltName1_en,admin1AltName2_en,admin0Name_fr,admin0Name_en,admin0Pcode,date,validOn,validTo
Adamaoua,Adamawa,CM001,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Centre,Centre,CM002,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Est,East,CM003,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Extrême-Nord,Far-North,CM004,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Littoral,Littoral,CM005,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nord,North,CM006,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nord-Ouest,North-West,CM007,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ouest,West,CM008,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Sud,South,CM009,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Sud-Ouest,South-West,CM010,,,,,,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
