#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:275:2:101,101,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:101,Jenin,PS0101,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:105,105,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:105,Tubas,PS0105,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:110,110,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:110,Tulkarm,PS0110,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:115,115,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:115,Nablus,PS0115,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:120,120,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:120,Qalqilya,PS0120,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:125,125,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:125,Salfit,PS0125,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:130,130,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:130,Ramallah,PS0130,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:135,135,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:135,Jericho,PS0135,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:140,140,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:140,Jerusalem,PS0140,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:145,145,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:145,Bethlehem,PS0145,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:150,150,1603:45:16:275:0,1603:45:16:275:1:1,1603:45:16:275:2:150,Hebron,PS0150,,,,West Bank,PS01,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:255,255,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:255,North Gaza,PS0255,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:260,260,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:260,Gaza,PS0260,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:265,265,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:265,Deir Al-Balah,PS0265,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:270,270,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:270,Khan Younis,PS0270,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
1603:45:16:275:2:275,275,1603:45:16:275:0,1603:45:16:275:1:2,1603:45:16:275:2:275,Rafah,PS0275,,,,Gaza Strip,PS02,State of Palestine (the),PS,2021-03-10,2021-08-10,
