#meta,#meta+archivum,#meta+iso3,#meta+sheets+original,#meta+sheets+new
1603.45.16:,afg.xlsx,afg,afg_adm2 afg_adm1 afg_adm0,afg_2 afg_1 afg_0
1603.45.16:,ago.xlsx,ago,ago_adm3 ago_adm2 ago_adm1 ago_adm0,ago_3 ago_2 ago_1 ago_0
1603.45.16:,arg.xlsx,arg,arg_adm2 arg_adm1 arg_adm0,arg_2 arg_1 arg_0
1603.45.16:,arm.xlsx,arm,arm_adm2 arm_adm1 arm_adm0,arm_2 arm_1 arm_0
1603.45.16:,aze.xlsx,aze,adm1 adm0,aze_1 aze_0
1603.45.16:,bdi.xlsx,bdi,bdi_adm2 bdi_adm1 bdi_adm0,bdi_2 bdi_1 bdi_0
1603.45.16:,ben.xlsx,ben,ben_adm2 ben_adm1 ben_adm0,ben_2 ben_1 ben_0
1603.45.16:,bfa.xlsx,bfa,bfa_adm3 bfa_adm2 bfa_adm1 bfa_adm0,bfa_3 bfa_2 bfa_1 bfa_0
1603.45.16:,bgd.xlsx,bgd,bgd_adm4 bgd_adm3 bgd_adm2 bgd_adm1 bgd_adm0,bgd_4 bgd_3 bgd_2 bgd_1 bgd_0
1603.45.16:,bgr.xlsx,bgr,bgr_adm2 bgr_adm1 bgr_adm0,bgr_2 bgr_1 bgr_0
1603.45.16:,blr.xlsx,blr,blr_adm2 blr_adm1 blr_adm0,blr_2 blr_1 blr_0
1603.45.16:,bmu.xlsx,bmu,bmu_adm2 bmu_adm1 bmu_adm0,bmu_2 bmu_1 bmu_0
1603.45.16:,bol.xlsx,bol,bol_adm3 bol_adm2 bol_adm1 bol_adm0,bol_3 bol_2 bol_1 bol_0
1603.45.16:,bra.xlsx,bra,adm2 adm1 adm0,bra_2 bra_1 bra_0
1603.45.16:,btn.xlsx,btn,adm2 adm1 adm0,btn_2 btn_1 btn_0
1603.45.16:,caf.xlsx,caf,caf_adm4 caf_adm3 caf_adm2 caf_adm1 caf_adm0,caf_4 caf_3 caf_2 caf_1 caf_0
1603.45.16:,chl.xlsx,chl,adm3 adm2 adm1 adm0,chl_3 chl_2 chl_1 chl_0
1603.45.16:,chn.xlsx,chn,adm2 adm1 adm0,chn_2 chn_1 chn_0
1603.45.16:,civ.xlsx,civ,civ_adm3 civ_adm2 civ_adm1 civ_adm0,civ_3 civ_2 civ_1 civ_0
1603.45.16:,cmr.xlsx,cmr,cmr_adm3 cmr_adm2 cmr_adm1 cmr_adm0,cmr_3 cmr_2 cmr_1 cmr_0
1603.45.16:,cod.xlsx,cod,cod_adm2 cod_adm1 cod_adm0,cod_2 cod_1 cod_0
1603.45.16:,cog.xlsx,cog,cog_adm2 cog_adm1 cog_adm0,cog_2 cog_1 cog_0
1603.45.16:,col.xlsx,col,col_adm2 col_adm1 col_adm0,col_2 col_1 col_0
1603.45.16:,com.xlsx,com,com_adm3 com_adm2 com_adm1 com_adm0,com_3 com_2 com_1 com_0
1603.45.16:,cpv.xlsx,cpv,cpv_adm2 cpv_adm1 cpv_adm0,cpv_2 cpv_1 cpv_0
1603.45.16:,cri.xlsx,cri,adm2 adm1 adm0,cri_2 cri_1 cri_0
1603.45.16:,dji.xlsx,dji,dji_adm2 dji_adm1 dji_adm0,dji_2 dji_1 dji_0
