#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:254:2:1301,1301,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1301,Régina,GF1301,Regina,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1302,1302,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1302,Cayenne,GF1302,Cayenne,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1303,1303,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1303,Iracoubo,GF1303,Iracoubo,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1304,1304,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1304,Kourou,GF1304,Kourou,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1305,1305,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1305,Macouria,GF1305,Macouria,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1307,1307,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1307,Matoury,GF1307,Matoury,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1308,1308,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1308,Saint-Georges,GF1308,Saint-Georges,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1309,1309,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1309,Remire-Montjoly,GF1309,Remire-Montjoly,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1310,1310,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1310,Roura,GF1310,Roura,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1312,1312,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1312,Sinnamary,GF1312,Sinnamary,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1313,1313,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1313,Montsinéry-Tonnegrande,GF1313,Montsinery-Tonnegrande,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1314,1314,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1314,Ouanary,GF1314,Ouanary,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1356,1356,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1356,Camopi,GF1356,Camopi,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1358,1358,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1358,Saint-Élie,GF1358,Saint-Elie,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2306,2306,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2306,Mana,GF2306,Mana,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2311,2311,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2311,Saint-Laurent-du-Maroni,GF2311,Saint-Laurent-du-Maroni,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2352,2352,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2352,Saül,GF2352,Saul,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2353,2353,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2353,Maripasoula,GF2353,Maripasoula,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2357,2357,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2357,Grand-Santi,GF2357,Grand-Santi,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2360,2360,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2360,Apatou,GF2360,Apatou,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2361,2361,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2361,Awala-Yalimapo,GF2361,Awala-Yalimapo,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2362,2362,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2362,Papaïchton,GF2362,Papaichton,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
