#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:192:1:1,1,1603:45:16:192:0,1603:45:16:192:1:1,Artemisa,CU01,Artemisa,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:2,2,1603:45:16:192:0,1603:45:16:192:1:2,Camagüey,CU02,Camaguey,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:3,3,1603:45:16:192:0,1603:45:16:192:1:3,Ciego de Ávila,CU03,Ciego de Avila,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:4,4,1603:45:16:192:0,1603:45:16:192:1:4,Cienfuegos,CU04,Cienfuegos,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:5,5,1603:45:16:192:0,1603:45:16:192:1:5,Granma,CU05,Granma,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:6,6,1603:45:16:192:0,1603:45:16:192:1:6,Guantánamo,CU06,Guantanamo,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:7,7,1603:45:16:192:0,1603:45:16:192:1:7,Holguín,CU07,Holguin,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:8,8,1603:45:16:192:0,1603:45:16:192:1:8,Isla de la Juventud,CU08,Isla de la Juventud,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:9,9,1603:45:16:192:0,1603:45:16:192:1:9,La Habana,CU09,La Habana,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:10,10,1603:45:16:192:0,1603:45:16:192:1:10,Las Tunas,CU10,Las Tunas,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:11,11,1603:45:16:192:0,1603:45:16:192:1:11,Matanzas,CU11,Matanzas,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:12,12,1603:45:16:192:0,1603:45:16:192:1:12,Mayabeque,CU12,Mayabeque,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:13,13,1603:45:16:192:0,1603:45:16:192:1:13,Pinar del Río,CU13,Pinar del Rio,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:14,14,1603:45:16:192:0,1603:45:16:192:1:14,Sancti Spíritus,CU14,Sancti Spiritus,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:15,15,1603:45:16:192:0,1603:45:16:192:1:15,Santiago de Cuba,CU15,Santiago de Cuba,,,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:16,16,1603:45:16:192:0,1603:45:16:192:1:16,Villa Clara,CU16,Villa Clara,,,Cuba,CU,2017-09-07,2020-11-18,
