#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:148:1:1,1,Batha,TD01,Batha,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:2,2,Borkou,TD02,Borkou,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:3,3,Chari-Baguirmi,TD03,Chari-Baguirmi,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:4,4,Guéra,TD04,Guera,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:5,5,Hadjer-Lamis,TD05,Hadjer-Lamis,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:6,6,Kanem,TD06,Kanem,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:7,7,Lac,TD07,Lac,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:8,8,Logone Occidental,TD08,Logone Occidental,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:9,9,Logone Oriental,TD09,Logone Oriental,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:10,10,Mandoul,TD10,Mandoul,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:11,11,Mayo-Kebbi Est,TD11,Mayo-Kebbi Est,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:12,12,Mayo-Kebbi Ouest,TD12,Mayo-Kebbi Ouest,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:13,13,Moyen-Chari,TD13,Moyen-Chari,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:14,14,Ouaddaï,TD14,Ouaddai,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:15,15,Salamat,TD15,Salamat,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:16,16,Tandjilé,TD16,Tandjile,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:17,17,Wadi Fira,TD17,Wadi Fira,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:18,18,N'Djamena,TD18,NDjamena,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:19,19,Barh-El-Gazel,TD19,Barh-El-Gazel,Barh-El-Gazal,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:20,20,Ennedi Est,TD20,Ennedi Est,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:21,21,Sila,TD21,Sila,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:22,22,Tibesti,TD22,Tibesti,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:23,23,Ennedi Ouest,TD23,Ennedi Ouest,,,Tchad,TD,2016-07-01,2021-09-24,
