#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:148:1:1,1,1603:45:16:148:0,1603:45:16:148:1:1,Batha,TD01,Batha,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:2,2,1603:45:16:148:0,1603:45:16:148:1:2,Borkou,TD02,Borkou,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:3,3,1603:45:16:148:0,1603:45:16:148:1:3,Chari-Baguirmi,TD03,Chari-Baguirmi,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:4,4,1603:45:16:148:0,1603:45:16:148:1:4,Guéra,TD04,Guera,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:5,5,1603:45:16:148:0,1603:45:16:148:1:5,Hadjer-Lamis,TD05,Hadjer-Lamis,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:6,6,1603:45:16:148:0,1603:45:16:148:1:6,Kanem,TD06,Kanem,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:7,7,1603:45:16:148:0,1603:45:16:148:1:7,Lac,TD07,Lac,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:8,8,1603:45:16:148:0,1603:45:16:148:1:8,Logone Occidental,TD08,Logone Occidental,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:9,9,1603:45:16:148:0,1603:45:16:148:1:9,Logone Oriental,TD09,Logone Oriental,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:10,10,1603:45:16:148:0,1603:45:16:148:1:10,Mandoul,TD10,Mandoul,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:11,11,1603:45:16:148:0,1603:45:16:148:1:11,Mayo-Kebbi Est,TD11,Mayo-Kebbi Est,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:12,12,1603:45:16:148:0,1603:45:16:148:1:12,Mayo-Kebbi Ouest,TD12,Mayo-Kebbi Ouest,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:13,13,1603:45:16:148:0,1603:45:16:148:1:13,Moyen-Chari,TD13,Moyen-Chari,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:14,14,1603:45:16:148:0,1603:45:16:148:1:14,Ouaddaï,TD14,Ouaddai,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:15,15,1603:45:16:148:0,1603:45:16:148:1:15,Salamat,TD15,Salamat,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:16,16,1603:45:16:148:0,1603:45:16:148:1:16,Tandjilé,TD16,Tandjile,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:17,17,1603:45:16:148:0,1603:45:16:148:1:17,Wadi Fira,TD17,Wadi Fira,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:18,18,1603:45:16:148:0,1603:45:16:148:1:18,N'Djamena,TD18,NDjamena,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:19,19,1603:45:16:148:0,1603:45:16:148:1:19,Barh-El-Gazel,TD19,Barh-El-Gazel,Barh-El-Gazal,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:20,20,1603:45:16:148:0,1603:45:16:148:1:20,Ennedi Est,TD20,Ennedi Est,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:21,21,1603:45:16:148:0,1603:45:16:148:1:21,Sila,TD21,Sila,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:22,22,1603:45:16:148:0,1603:45:16:148:1:22,Tibesti,TD22,Tibesti,,,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:1:23,23,1603:45:16:148:0,1603:45:16:148:1:23,Ennedi Ouest,TD23,Ennedi Ouest,,,Tchad,TD,2016-07-01,2021-09-24,
