#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip2479,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip110,#item+rem+i_qcc+is_zxxx+ix_wikip50,#item+rem+i_qcc+is_zxxx+ix_wikip854
0,CC0,,,Red Cross,,https://en.wikipedia.org/wiki/File:FEMA_-_37173_-_Red_Cross_%22ready_to_go%22_preparedness_kit.jpg
1~0,CC0,,,OCHA Humanitarian Icons v.02,,https://thenounproject.com/ochavisual/collection/ocha-humanitarian-icons-v02/
2~0,CC0,,,Test Image 2,,
3~0,CC0,,,Test Image 3,,
5~1,CC0,,2017,Brooke Lark,,https://unsplash.com/photos/jUPOXXRNdcA
5_2~1,CC0,,2018,Nadine Primeau,,https://unsplash.com/photos/-ftWfohtjNw
101~0,CC0,,,Test Image 101,,
101_1~1,CC0,,,Red Cross,,https://en.wikipedia.org/wiki/File:FEMA_-_37173_-_Red_Cross_%22ready_to_go%22_preparedness_kit.jpg
101_2~1,CC0,,2022,EmericusPetro@EticaAI,,
102~1,CC0,,2013,Unknown author,,https://commons.wikimedia.org/wiki/File:Blood_donation_pictogram.svg
102~2,CC0,,2006,InvictaHOG~commonswiki,,https://commons.wikimedia.org/wiki/File:ABO_blood_type.svg
102~3,CC0,,2009,YassineMrabet,,https://commons.wikimedia.org/wiki/File:ABO_system_codominance.svg
180~0,CC0,,,Test Image 180,,
200~0,CC0,,,Test Image 200,,
200_1~1,CC0,,2022,EmericusPetro@EticaAI,,
205_1~1,CC0,,2022,EmericusPetro@EticaAI,,
205_2~1,CC0,,2022,EmericusPetro@EticaAI,,
220_1~1,CC0,,2022,EmericusPetro@EticaAI,,
220_2~1,CC0,,2022,EmericusPetro@EticaAI,,
230_1_1~1,CC0,,2022,EmericusPetro@EticaAI,,
230_1_1~2,CC0,,2022,EmericusPetro@EticaAI,,
500~0,CC0,,,Test Image 500,,
500_10_9_1~1,CC0,,2022,EmericusPetro@EticaAI,,
510_1~1,CC0,,2022,EmericusPetro@EticaAI,,
511_1~1,CC0,,2022,EmericusPetro@EticaAI,,
511_3~1,CC0,,2022,EmericusPetro@EticaAI,,
511_3~2,CC0,,2022,EmericusPetro@EticaAI,,
512_1_2~1,CC0,,2022,EmericusPetro@EticaAI,,
512_4~1,CC0,,2022,EmericusPetro@EticaAI,,
512_50~1,CC0,,2022,EmericusPetro@EticaAI,,
512_100_1~1,CC0,,2022,EmericusPetro@EticaAI,,
512_100_2~1,CC0,,2022,EmericusPetro@EticaAI,,
555_4~1,CC0,,2022,EmericusPetro@EticaAI,,
