#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_nld+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:740:1:1,1,1603:45:16:740:0,1603:45:16:740:1:1,Brokopondo,SR01,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:2,2,1603:45:16:740:0,1603:45:16:740:1:2,Commewijne,SR02,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:3,3,1603:45:16:740:0,1603:45:16:740:1:3,Coronie,SR03,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:4,4,1603:45:16:740:0,1603:45:16:740:1:4,Marowijne,SR04,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:5,5,1603:45:16:740:0,1603:45:16:740:1:5,Nickerie,SR05,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:6,6,1603:45:16:740:0,1603:45:16:740:1:6,Para,SR06,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:7,7,1603:45:16:740:0,1603:45:16:740:1:7,Paramaribo,SR07,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:8,8,1603:45:16:740:0,1603:45:16:740:1:8,Saramacca,SR08,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:9,9,1603:45:16:740:0,1603:45:16:740:1:9,Sipaliwini,SR09,,,,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:10,10,1603:45:16:740:0,1603:45:16:740:1:10,Wanica,SR10,,,,Suriname,SR,2019-10-24,2019-10-24,
