#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:478:1:1,1,1603:45:16:478:0,1603:45:16:478:1:1,Adrar,MR01,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:2,2,1603:45:16:478:0,1603:45:16:478:1:2,Assaba,MR02,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:3,3,1603:45:16:478:0,1603:45:16:478:1:3,Brakna,MR03,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:4,4,1603:45:16:478:0,1603:45:16:478:1:4,Dakhlet-Nouadhibou,MR04,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:5,5,1603:45:16:478:0,1603:45:16:478:1:5,Gorgol,MR05,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:6,6,1603:45:16:478:0,1603:45:16:478:1:6,Guidimakha,MR06,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:7,7,1603:45:16:478:0,1603:45:16:478:1:7,Hodh El Chargi,MR07,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:8,8,1603:45:16:478:0,1603:45:16:478:1:8,Hodh El Gharbi,MR08,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:9,9,1603:45:16:478:0,1603:45:16:478:1:9,Inchiri,MR09,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:10,10,1603:45:16:478:0,1603:45:16:478:1:10,Nouakchott,MR10,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:11,11,1603:45:16:478:0,1603:45:16:478:1:11,Tagant,MR11,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:12,12,1603:45:16:478:0,1603:45:16:478:1:12,Trarza,MR12,,,,Mauritania,MR,2017-08-09,2022-03-23,
1603:45:16:478:1:13,13,1603:45:16:478:0,1603:45:16:478:1:13,Tris-Zemmour,MR13,,,,Mauritania,MR,2017-08-09,2022-03-23,
