#adm1+name+i_eng+is_latn,#adm1+name+i_rus+is_cyrl,#adm1+name+i_uzb+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_rus+is_cyrl,#adm1+name+alt2+i_rus+is_cyrl,#adm1+name+alt1+i_uzb+is_latn,#adm1+name+alt2+i_uzb+is_latn,#country+name+i_eng+is_latn,#country+name+i_rus+is_cyrl,#country+name+i_uzb+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Andizhan,Андижанская,Andijon,UZ03,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Bukhara,Бухарская,Buxoro,UZ06,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Dzhizak,Джизакская,Jizzax,UZ08,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Navoi,Навоийская,Navoiy,UZ12,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Namangan,Наманганская,Namangan,UZ14,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Samarkand,Самаркандская,Samarqand,UZ18,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Syrdarya,Сырдарьинская,Sirdaryo,UZ24,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Tashkent city,г.Ташкент,Toshkent ш.,UZ26,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Tashkent,Ташкентская,Toshkent,UZ27,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Fergana,Ферганская,Farg'ona,UZ30,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Khorezm,Хорезмская,Xorazm,UZ33,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
