#adm1+name+i_eng+is_latn,#adm1+name+i_hye+is_armn,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_hye+is_armn,#adm1+name+alt2+i_hye+is_armn,#adm1+name+alt1+i_rus+is_cyrl,#adm1+name+alt2+i_rus+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_hye+is_armn,#country+name+i_rus+is_cyrl,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Yerevan,Երևան,Ереван,AM01,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Aragatsotn,Արագածոտն,Арагацотнская,AM02,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ararat,Արարատ,Араратская,AM03,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Armavir,Արմավիր,Армавирская,AM04,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Lori,Լոռի,Лорийская,AM06,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Kotayk,Կոտայք,Котайкская,AM07,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Shirak,Շիրակ,Ширакская,AM08,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Syunik,Սյունիք,Сюникская,AM09,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Tavush,Տավուշ,Тавушская,AM11,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
