#adm1+name+i_eng+is_latn,#adm1+name+i_mon+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_mon+is_cyrl,#adm1+name+alt2+i_mon+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_mon+is_cyrl,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Darkhan-Uul,Дархан-Уул,MN45,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dornogovi,Дорноговь,MN44,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dundgovi,Дундговь,MN48,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Govisumber,Говьсүмбэр,MN42,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Omnogovi,Өмнөговь,MN46,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Selenge,Сэлэнгэ,MN43,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
To'v,Төв,MN41,Tov,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Dornod,Дорнод,MN21,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Hentii,Хэнтий,MN23,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Sukhbaatar,Сүхбаатар,MN22,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ulaanbaatar,Улаанбаатар,MN11,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Arxangai,Архангай,MN65,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayankhongor,Баянхонгор,MN64,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN63,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Khovsgol,Хөвсгөл,MN67,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Orkhon,Орхон,MN61,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ovorkhangai,Өвөрхангай,MN62,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bayan-Olgii,Баян-Өлгий,MN83,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Govi-Altai,Говь-Алтай,MN82,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Khovd,Ховд,MN84,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Uvs,Увс,MN85,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Zavkhan,Завхан,MN81,,,,,,Mongolia,монгол,MN,2016-12-01,2020-10-19,
