#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bocas del Toro,PA01,,,,Panamá,PA,2020-06-15,2021-10-27,
Chiriquí,PA02,Chiriqui,,,Panamá,PA,2020-06-15,2021-10-27,
Coclé,PA03,Cocle,,,Panamá,PA,2020-06-15,2021-10-27,
Colón,PA04,Colon,,,Panamá,PA,2020-06-15,2021-10-27,
Darién,PA05,Darien,,,Panamá,PA,2020-06-15,2021-10-27,
Emberá,PA06,Embera,,,Panamá,PA,2020-06-15,2021-10-27,
Herrera,PA07,,,,Panamá,PA,2020-06-15,2021-10-27,
Kuna Yala,PA08,,,,Panamá,PA,2020-06-15,2021-10-27,
Los Santos,PA09,,,,Panamá,PA,2020-06-15,2021-10-27,
Ngöbe Buglé,PA10,Ngobe Bugle,,,Panamá,PA,2020-06-15,2021-10-27,
Panamá Oeste,PA11,Panama Oeste,,,Panamá,PA,2020-06-15,2021-10-27,
Panamá,PA12,Panama,,,Panamá,PA,2020-06-15,2021-10-27,
Veraguas,PA13,,,,Panamá,PA,2020-06-15,2021-10-27,
