#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Derna,درنه,LY0101,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Almarj,المرج,LY0102,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Benghazi,بنغازي,LY0103,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Tobruk,طبرق,LY0104,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Ejdabia,اجدابيا,LY0105,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Al Jabal Al Akhdar,الجبل الاخضر,LY0106,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Alkufra,الكفرة,LY0107,,,,,,East,الشرق,LY01,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Sirt,سرت,LY0208,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Nalut,نالوت,LY0209,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Almargeb,المرقب,LY0210,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Tripoli,طرابلس,LY0211,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Aljfara,الجفارة,LY0212,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Azzawya,الزاوية,LY0213,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Misrata,مصراته,LY0214,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Zwara,زوارة,LY0215,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Al Jabal Al Gharbi,الجبل الغربي,LY0216,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Aljufra,الجفرة,LY0317,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Wadi Ashshati,وادى الشاطئ,LY0318,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Sebha,سبها,LY0319,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Ubari,اوباري,LY0320,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Ghat,غات,LY0321,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2016-11-30,2018-05-07,
Murzuq,مرزق,LY0322,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2016-11-30,2018-05-07,
