#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:108:1:1,1,1603:45:16:108:0,1603:45:16:108:1:1,Bubanza,BI001,Bubanza,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:2,2,1603:45:16:108:0,1603:45:16:108:1:2,Bujumbura Rural,BI002,Bujumbura Rural,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:3,3,1603:45:16:108:0,1603:45:16:108:1:3,Bururi,BI003,Bururi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:4,4,1603:45:16:108:0,1603:45:16:108:1:4,Cankuzo,BI004,Cankuzo,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:5,5,1603:45:16:108:0,1603:45:16:108:1:5,Cibitoke,BI005,Cibitoke,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:6,6,1603:45:16:108:0,1603:45:16:108:1:6,Gitega,BI006,Gitega,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:7,7,1603:45:16:108:0,1603:45:16:108:1:7,Karuzi,BI007,Karuzi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:8,8,1603:45:16:108:0,1603:45:16:108:1:8,Kayanza,BI008,Kayanza,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:9,9,1603:45:16:108:0,1603:45:16:108:1:9,Kirundo,BI009,Kirundo,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:10,10,1603:45:16:108:0,1603:45:16:108:1:10,Makamba,BI010,Makamba,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:11,11,1603:45:16:108:0,1603:45:16:108:1:11,Muramvya,BI011,Muramvya,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:12,12,1603:45:16:108:0,1603:45:16:108:1:12,Muyinga,BI012,Muyinga,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:13,13,1603:45:16:108:0,1603:45:16:108:1:13,Mwaro,BI013,Mwaro,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:14,14,1603:45:16:108:0,1603:45:16:108:1:14,Ngozi,BI014,Ngozi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:15,15,1603:45:16:108:0,1603:45:16:108:1:15,Rutana,BI015,Rutana,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:16,16,1603:45:16:108:0,1603:45:16:108:1:16,Ruyigi,BI016,Ruyigi,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:17,17,1603:45:16:108:0,1603:45:16:108:1:17,Bujumbura Mairie,BI017,Bujumbura Mairie,,,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:1:18,18,1603:45:16:108:0,1603:45:16:108:1:18,Rumonge,BI018,Rumonge,,,Burundi,BI,2017-11-07,2021-10-07,
