Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Multiple languages,"Multiple languages, meta",/Wiki QID/,/Wiki QID/; meta,/Wiki P/,/Wiki P/; meta,Trivia,Trivia,Regex,Regex; meta,/formatter URL/,HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",HXL hashtag vocabulary,"HXL hashtag, metadata",Lingua Anglica (Abecedarium Latinum); dēfīnītiōnem,Lingua Anglica (Abecedarium Latinum); dēfīnītiōnem; meta,Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_lat+is_latn,#meta+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip,#meta+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_mul+is_zyyy+ix_trivium,#meta+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_qcc+is_zxxx+ix_regulam,#meta+rem+i_qcc+is_zxxx+ix_regulam,#item+rem+i_qcc+is_zxxx+ix_wikip1630,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#meta+rem+i_qcc+is_zxxx+ix_hxlvoc,#item+rem+definitionem+i_eng+is_latn,#meta+rem+definitionem+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_999_1,1,1,//Dictiōnāria basibus de rēs interlinguīs//,,,,,,,,,,,,,,,,,,
0_999_2,1,1,https://github.com/EticaAI/multilingual-lexicography/issues/15,,,,,,,,,,,,,,,,,,
0_999_999,1,1,@TODOs,,,,,,,,,,,,,,,,,,
0_999_999_1,1,1,ix_signum,1603_45_1,,,,,,,,,,,,,,,,,
0_999_999_2,1,1,ix_completum,1603_45_1,,,,,,,,,,,,,,,,,
0_999_999_3,1,1,ix_definitionem,1603_45_1,,,,,,,,,,,,,,,,,
0_1603_1_7_2616_98,11,11,,,,,,,,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,11,11,,,,,,,,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,11,11,,,,,,,,,,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,11,11,,,,,,,,,,,,,,,,,,2022-01-01,Needs review exact date
0_1603_1_7_2616_859,11,11,,,,,,,,,,,,,,,,,,pro bonō publicō,
0_1603_1_7_2616_7535,11,11,,,,,,,,,,,,,,,,,,This Numerodinatio namespace contains dictionaries related to bare minimum interlingual concepts used to understand Numerodinatio tables.\n\nThe decision making is mostly based on what is very essential to explain other tables.,
1,11,11,/Generic numeric namespace/,,,,,,,,,,,,,,,,,,
1_1,50,50,Cōdex factō,,,,,,,,,,,ix_codexfacto,,v_codex_facto,,,,,
1_2,50,19,Numerordĭnātĭo,,,,,,,,,,,ix_n1603,,v_n1603,,a generic strategy of arranging numbers in an taxonomy-like explicit way,,,
1_3,50,19,Dictiōnāria,,,,,,,,,,,,,,,,,,
1_4,50,19,Dictiōnāria necessitātibus,,,,,,,,,,,ix_dctnrnncssttbs,,v_dictionaria_necessitatibus,,Dictionaries groups required by this work.,,,
