#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:174:2:11,11,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:11,Domoni,KM11,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:12,12,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:12,Mrémani,KM12,Mremani,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:13,13,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:13,Mutsamudu,KM13,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:14,14,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:14,Ouani,KM14,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:15,15,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:15,Sima,KM15,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:21,21,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:21,Hamahamet-Mboinkou,KM21,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:22,22,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:22,Hambou,KM22,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:23,23,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:23,Itsandra-Hamanvou,KM23,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:24,24,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:24,Mbadjini Est,KM24,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:25,25,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:25,Mbadjini Ouest,KM25,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:26,26,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:26,Mitsamiouli-Mboudé,KM26,Mitsamiouli-Mboude,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:27,27,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:27,Moroni-Bambao,KM27,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:28,28,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:28,Oichili-Dimani,KM28,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:29,29,1603:45:16:174:0,1603:45:16:174:1:2,1603:45:16:174:2:29,Kartala,KM29,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:31,31,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:31,Djando,KM31,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:32,32,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:32,Fomboni,KM32,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:2:33,33,1603:45:16:174:0,1603:45:16:174:1:3,1603:45:16:174:2:33,Nioumachioi,KM33,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
