#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:504:1:1,1,1603:45:16:504:0,1603:45:16:504:1:1,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:2,2,1603:45:16:504:0,1603:45:16:504:1:2,Casablanca Settat,الدار البيضاء - سطات,MA002,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:3,3,1603:45:16:504:0,1603:45:16:504:1:3,Draa Tafilalet,درعة - تافيلالت,MA003,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:4,4,1603:45:16:504:0,1603:45:16:504:1:4,Fez Meknes,فاس - مكناس,MA004,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:5,5,1603:45:16:504:0,1603:45:16:504:1:5,Guelmim Oued Noun,كلميم - واد نون,MA005,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:6,6,1603:45:16:504:0,1603:45:16:504:1:6,Marrakech Safi,مراكش - آسفي,MA006,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:7,7,1603:45:16:504:0,1603:45:16:504:1:7,Oriental,الجهة الشرقية,MA007,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:8,8,1603:45:16:504:0,1603:45:16:504:1:8,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:9,9,1603:45:16:504:0,1603:45:16:504:1:9,Souss Massa,سوس - ماسة,MA009,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:10,10,1603:45:16:504:0,1603:45:16:504:1:10,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,,,,,,Morocco,المغرب,MA,2020-12-07,2020-12-07,
