#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:288:1:1,1,1603:45:16:288:0,1603:45:16:288:1:1,Ahafo,GH01,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:2,2,1603:45:16:288:0,1603:45:16:288:1:2,Ashanti,GH02,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:3,3,1603:45:16:288:0,1603:45:16:288:1:3,Bono,GH03,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:4,4,1603:45:16:288:0,1603:45:16:288:1:4,Bono East,GH04,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:5,5,1603:45:16:288:0,1603:45:16:288:1:5,Central,GH05,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:6,6,1603:45:16:288:0,1603:45:16:288:1:6,Eastern,GH06,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:7,7,1603:45:16:288:0,1603:45:16:288:1:7,Greater Accra,GH07,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:8,8,1603:45:16:288:0,1603:45:16:288:1:8,Northern,GH08,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:9,9,1603:45:16:288:0,1603:45:16:288:1:9,Northern East,GH09,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:10,10,1603:45:16:288:0,1603:45:16:288:1:10,Oti,GH10,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:11,11,1603:45:16:288:0,1603:45:16:288:1:11,Savannah,GH11,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:12,12,1603:45:16:288:0,1603:45:16:288:1:12,Upper East,GH12,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:13,13,1603:45:16:288:0,1603:45:16:288:1:13,Upper West,GH13,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:14,14,1603:45:16:288:0,1603:45:16:288:1:14,Volta,GH14,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:15,15,1603:45:16:288:0,1603:45:16:288:1:15,Western,GH15,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:16,16,1603:45:16:288:0,1603:45:16:288:1:16,Western North,GH16,,,,Ghana,GH,2021-03-10,2021-12-31,
