#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:776:2:11,11,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:11,Kolofo'ou,TO11,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:12,12,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:12,Kolomotu'a,TO12,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:13,13,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:13,Vaini,TO13,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:14,14,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:14,Tatakamotonga,TO14,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:15,15,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:15,Lapaha,TO15,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:16,16,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:16,Nukunuku,TO16,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:17,17,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:17,Kolovai,TO17,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:21,21,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:21,Neiafu,TO21,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:22,22,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:22,Pangaimotu,TO22,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:23,23,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:23,Hahake,TO23,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:24,24,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:24,Leimatu'a,TO24,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:25,25,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:25,Hihifo,TO25,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:26,26,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:26,Motu,TO26,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:31,31,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:31,Pangai,TO31,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:32,32,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:32,Foa,TO32,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:33,33,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:33,Lulunga,TO33,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:34,34,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:34,Mu'omu'a,TO34,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:35,35,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:35,Ha`ano,TO35,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:36,36,1603:45:16:776:0,1603:45:16:776:1:3,1603:45:16:776:2:36,'Uiha,TO36,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:41,41,1603:45:16:776:0,1603:45:16:776:1:4,1603:45:16:776:2:41,'Eua Prope,TO41,,,,'Eua,TO4,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:42,42,1603:45:16:776:0,1603:45:16:776:1:4,1603:45:16:776:2:42,'Eua fo'ou,TO42,,,,'Eua,TO4,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:51,51,1603:45:16:776:0,1603:45:16:776:1:5,1603:45:16:776:2:51,Niuatoputapu,TO51,,,,Niuas,TO5,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:52,52,1603:45:16:776:0,1603:45:16:776:1:5,1603:45:16:776:2:52,Niuafo'ou,TO52,,,,Niuas,TO5,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
