#adm1+name+i_pt,#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_pt,#adm1+name+alt2+i_pt,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_pt,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Cabo Delgado,,MZ01,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gaza,,MZ02,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhambane,,MZ03,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manica,,MZ04,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maputo,,MZ05,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maputo City,,MZ06,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nampula,,MZ07,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Niassa,,MZ08,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sofala,,MZ09,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tete,,MZ10,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zambezia,,MZ11,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
