#adm1+name+i_en,#adm1+name+i_bg,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_bg,#adm1+name+alt2+i_bg,#country+name+i_en,#country+name+i_bg,#country+code+v_iso2,#date+start,#date+updated,#date+end
Blagoevgrad,Благоевград,BG001,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Burgas,Бургас,BG002,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dobrich,Добрич,BG003,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Gabrovo,Габрово,BG004,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Haskovo,Хасково,BG005,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kardzhali,Кърджали,BG006,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kyustendil,Кюстендил,BG007,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Lovech,Ловеч,BG008,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Montana,Монтана,BG009,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pazardzhik,Пазарджик,BG010,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pernik,Перник,BG011,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pleven,Плевен,BG012,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Plovdiv,Пловдив,BG013,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Razgrad,Разград,BG014,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Ruse,Русе,BG015,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Shumen,Шумен,BG016,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Silistra,Силистра,BG017,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sliven,Сливен,BG018,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Smolyan,Смолян,BG019,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sofia,Софийска,BG020,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sofia-City,София-град,BG021,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Stara Zagora,Стара Загора,BG022,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Targovishte,Търговище,BG023,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Varna,Варна,BG024,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Veliko Tarnovo,Велико Търново,BG025,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Vidin,Видин,BG026,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Vratsa,Враца,BG027,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
Yambol,Ямбол,BG028,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
