#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bulawayo,ZW10,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Manicaland,ZW11,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Mashonaland Central,ZW12,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Mashonaland East,ZW13,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Mashonaland West,ZW14,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Matabeleland North,ZW15,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Matabeleland South,ZW16,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Midlands,ZW17,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Masvingo,ZW18,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
Harare,ZW19,,,,Zimbabwe,ZW,2018-08-31,2018-09-11,
