admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Alaili Dadda,DJ0101,,,,Obock,DJ01,Djibouti,DJ,2018-10-26,2020-02-20,
Obock,DJ0102,,,,Obock,DJ01,Djibouti,DJ,2018-10-26,2020-02-20,
Dorra,DJ0201,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
Randa,DJ0202,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
Balha,DJ0203,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
Tadjourah,DJ0204,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
YobokiI,DJ0301,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
Dilkhil,DJ0302,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
As Eyla,DJ0303,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
Djibouti,DJ0401,,,,Djibouti,DJ04,Djibouti,DJ,2018-10-26,2020-02-20,
Ali Sabeh,DJ0501,,,,Ali Sabeh,DJ05,Djibouti,DJ,2018-10-26,2020-02-20,
