#adm1+name+i_en,#adm1+name+i_hy,#adm1+name+i_ru,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_hy,#adm1+name+alt2+i_hy,#adm1+name+alt1+i_ru,#adm1+name+alt2+i_ru,#country+name+i_en,#country+name+i_hy,#country+name+i_ru,#country+code+v_iso2,#date+start,#date+updated,#date+end
Yerevan,Երևան,Ереван,AM01,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Aragatsotn,Արագածոտն,Арагацотнская,AM02,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Ararat,Արարատ,Араратская,AM03,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Armavir,Արմավիր ,Армавирская,AM04,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Lori,Լոռի ,Лорийская,AM06,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Kotayk,Կոտայք ,Котайкская,AM07,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Shirak,Շիրակ ,Ширакская,AM08,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Syunik,Սյունիք,Сюникская,AM09,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
Tavush,Տավուշ,Тавушская,AM11,,,,,,,,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2019-09-13,
