admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_ar,#adm2+name+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_ar,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
A'zaz,اعزاز,SY0204,Azaz,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Abu Kamal,البوكمال,SY0902,,,,,,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Afrin,عفرين,SY0203,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ain Al Arab,عين العرب,SY0206,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al-Haffa,الحفة,SY0603,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al-Hasakeh,مركز الحسكة,SY0800,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al-Malikeyyeh,المالكية,SY0803,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al-Qardaha,القرداحة,SY0604,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al-Qusayr,القصير,SY0402,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al Bab,الباب,SY0202,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al Fiq,فيق,SY1402,,,,,,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al Ma'ra,معرة النعمان,SY0702,Al Mara,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al Makhrim,المخرم,SY0406,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al Mayadin,الميادين,SY0903,,,,,,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Al Qutayfah,القطيفة,SY0303,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
An Nabk,النبك,SY0306,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ar-Raqqa,مركز الرقة,SY1101,,,,,,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ar-Rastan,الرستن,SY0404,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ariha,أريحا,SY0705,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
As-Safira,السفيرة,SY0207,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
As-Salamiyeh,السلمية,SY0503,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
As-Sanamayn,الصنمين,SY1202,,,,,,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
As-Suqaylabiyah,السقيلبية,SY0502,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
As-Sweida,مركز السويداء,SY1300,,,,,,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
At Tall,التل,SY0304,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ath-Thawrah,الثورة,SY1103,,,,,,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Az-Zabdani,الزبداني,SY0307,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Banyas,بانياس,SY1002,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Damascus,دمشق,SY0100,,,,,,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Dar'a,درعا,SY1200,Dara,,,,,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Darayya,داريا,SY0309,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Deir-ez-Zor,مركز دير الزور,SY0901,,,,,,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Dreikish,دريكيش,SY1004,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Duma,دوما,SY0302,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Hama,مركز حماة,SY0501,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Harim,حارم,SY0703,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Homs,مركز حمص,SY0401,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Idleb,مركز إدلب,SY0700,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Izra',ازرع,SY1203,Izra,,,,,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Jablah,جبلة,SY0602,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Jarablus,جرابلس,SY0208,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Jebel Saman,جبل سمعان,SY0200,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Jisr-Ash-Shugur,جسر الشغور,SY0704,,,,,,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Lattakia,مركز اللاذقية,SY0600,,,,,,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Masyaf,مصياف,SY0504,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Menbij,منبج,SY0205,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Muhradah,محردة,SY0505,,,,,,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Qadmous,القدموس,SY1006,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Qatana,قطنا,SY0308,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Quamishli,القامشلي,SY0802,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Quneitra,مركز القنيطرة,SY1400,,,,,,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ras Al Ain,رأس العين,SY0804,,,,,,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Rural Damascus,مركز ريف دمشق,SY0301,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Safita,صافيتا,SY1003,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Salkhad,صلخد,SY1302,,,,,,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Shahba,شهبا,SY1303,,,,,,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Sheikh Badr,الشيخ بدر,SY1005,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Tadmor,تدمر,SY0405,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Tall Kalakh,تلكلخ,SY0403,,,,,,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Tartous,مركز طرطوس,SY1000,,,,,,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Tell Abiad,تل أبيض,SY1102,,,,,,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Yabroud,يبرود,SY0305,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
