#adm1+name+i_fr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fr,#adm1+name+alt2+i_fr,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ombella M'Poko,CF11,Ombella MPoko,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Lobaye,CF12,Lobaye,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Mambéré-Kadéï,CF21,Mambere-Kadei,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Nana-Mambéré,CF22,Nana-Mambere,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Sangha-Mbaéré,CF23,Sangha-Mbaere,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouham Pendé,CF31,Ouham Pende,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouham,CF32,Ouham,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Kémo,CF41,Kemo,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Nana-Gribizi,CF42,Nana-Gribizi,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouaka,CF43,Ouaka,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Bamingui-Bangoran,CF51,Bamingui-Bangoran,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Haute-Kotto,CF52,Haute-Kotto,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Vakaga,CF53,Vakaga,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Basse-Kotto,CF61,Basse-Kotto,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Mbomou,CF62,Mbomou,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Haut-Mbomou,CF63,Haut-Mbomou,,,République centrafricaine,CF,2014-08-02,2020-12-01,
Bangui,CF71,Bangui,,,République centrafricaine,CF,2014-08-02,2020-12-01,
