#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Central,ZM10,,,,Zambia,ZM,2020-01-03,2020-11-24,
Copperbelt,ZM20,,,,Zambia,ZM,2020-01-03,2020-11-24,
Eastern,ZM30,,,,Zambia,ZM,2020-01-03,2020-11-24,
Luapula,ZM40,,,,Zambia,ZM,2020-01-03,2020-11-24,
Lusaka,ZM50,,,,Zambia,ZM,2020-01-03,2020-11-24,
Muchinga,ZM11,,,,Zambia,ZM,2020-01-03,2020-11-24,
North-Western,ZM70,,,,Zambia,ZM,2020-01-03,2020-11-24,
Northern,ZM60,,,,Zambia,ZM,2020-01-03,2020-11-24,
Southern,ZM80,,,,Zambia,ZM,2020-01-03,2020-11-24,
Western,ZM90,,,,Zambia,ZM,2020-01-03,2020-11-24,
