#adm1+name+i_en,#adm1+name+i_lo,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_lo,#adm1+name+alt2+i_lo,#country+name+i_en,#country+name+i_lo,#country+code+v_iso2,#date+start,#date+updated,#date+end
Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Phongsaly,ຜົ້ງສາລີ,LA02,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Louangnamtha,ຫຼວງນ້ຳທາ,LA03,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Oudomxai,ອຸດົມໄຊ,LA04,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Bokeo,ບໍ່ແກ້ວ,LA05,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Louangphabang,ຫຼວງພະບາງ,LA06,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Houaphan,ຫົວພັນ,LA07,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Xaignabouly,ໄຊຍະບູລີ,LA08,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Xiengkhouang,ຊຽງຂວາງ,LA09,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Vientiane,ວຽງຈັນ,LA10,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Bolikhamxai,ບໍລິຄຳໄຊ,LA11,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Khammouan,ຄຳມ່ວນ,LA12,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Savannakhet,ສະຫວັນນະເຂດ,LA13,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Salavan,ສາລະວັນ,LA14,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Sekong,ເຊກອງ,LA15,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Champasack,ຈຳປາສັກ,LA16,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Attapeu,ອັດຕະປື,LA17,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Xaisomboon,ໄຊສົມບູນ,LA18,,,,,,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
