#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_uz,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_ru,#adm1+name+alt2+i_ru,#adm1+name+alt1+i_uz,#adm1+name+alt2+i_uz,#country+name+i_en,#country+name+i_ru,#country+name+i_uz,#country+code+v_iso2,#date+start,#date+updated,#date+end
Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Navoi,Навоийская,Navoiy,UZ12,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bukhara,Бухарская,Buxoro,UZ06,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Samarkand,Самаркандская,Samarqand,UZ18,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Dzhizak,Джизакская,Jizzax,UZ08,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Khorezm,Хорезмская,Xorazm,UZ33,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Fergana,Ферганская,Farg'ona,UZ30,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Syrdarya,Сырдарьинская,Sirdaryo,UZ24,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Tashkent,Ташкентская,Toshkent,UZ27,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Namangan,Наманганская,Namangan,UZ14,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Tashkent city,г.Ташкент,Toshkent ш.,UZ26,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Andizhan,Андижанская,Andijon,UZ03,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
